# DataSet FAZIAPRE-MAY2018
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIAPRE-MAY2018/
run=1 | starting date=Wed May 23 15:37:04 2018 | nfiles=7 | size(GB)=0.57
run=2 | starting date=Thu May 24 12:09:04 2018 | nfiles=10 | size(GB)=0.93
run=3 | starting date=Thu May 24 12:13:18 2018 | nfiles=3 | size(GB)=0.26
run=4 | starting date=Thu May 24 16:57:33 2018 | nfiles=10 | size(GB)=0.93
run=5 | starting date=Thu May 24 16:58:04 2018 | nfiles=10 | size(GB)=0.93
run=6 | starting date=Thu May 24 16:58:27 2018 | nfiles=10 | size(GB)=0.93
run=7 | starting date=Thu May 24 16:58:51 2018 | nfiles=10 | size(GB)=0.93
run=8 | starting date=Thu May 24 16:59:14 2018 | nfiles=10 | size(GB)=0.93
run=9 | starting date=Thu May 24 16:59:37 2018 | nfiles=10 | size(GB)=0.93
run=10 | starting date=Thu May 24 17:00:01 2018 | nfiles=10 | size(GB)=0.93
run=11 | starting date=Thu May 24 17:00:24 2018 | nfiles=10 | size(GB)=0.93
run=12 | starting date=Thu May 24 17:00:47 2018 | nfiles=10 | size(GB)=0.93
run=13 | starting date=Thu May 24 17:01:12 2018 | nfiles=6 | size(GB)=0.54
run=14 | starting date=Thu May 24 17:23:04 2018 | nfiles=10 | size(GB)=0.93
run=15 | starting date=Thu May 24 17:28:10 2018 | nfiles=10 | size(GB)=0.93
run=16 | starting date=Thu May 24 17:28:36 2018 | nfiles=10 | size(GB)=0.93
run=17 | starting date=Thu May 24 17:29:03 2018 | nfiles=10 | size(GB)=0.93
run=18 | starting date=Thu May 24 17:29:29 2018 | nfiles=10 | size(GB)=0.93
run=19 | starting date=Thu May 24 17:29:55 2018 | nfiles=10 | size(GB)=0.93
run=20 | starting date=Thu May 24 17:30:20 2018 | nfiles=10 | size(GB)=0.93
run=21 | starting date=Thu May 24 17:30:45 2018 | nfiles=10 | size(GB)=0.93
run=22 | starting date=Thu May 24 17:31:10 2018 | nfiles=10 | size(GB)=0.93
run=23 | starting date=Thu May 24 17:31:35 2018 | nfiles=10 | size(GB)=0.93
run=24 | starting date=Thu May 24 17:32:00 2018 | nfiles=10 | size(GB)=0.93
run=25 | starting date=Thu May 24 17:32:24 2018 | nfiles=10 | size(GB)=0.93
run=26 | starting date=Thu May 24 17:32:49 2018 | nfiles=10 | size(GB)=0.93
run=27 | starting date=Thu May 24 17:33:13 2018 | nfiles=10 | size(GB)=0.93
run=28 | starting date=Thu May 24 17:33:38 2018 | nfiles=10 | size(GB)=0.93
run=29 | starting date=Thu May 24 17:34:02 2018 | nfiles=10 | size(GB)=0.93
run=30 | starting date=Thu May 24 17:34:26 2018 | nfiles=10 | size(GB)=0.93
run=31 | starting date=Thu May 24 17:34:50 2018 | nfiles=10 | size(GB)=0.93
run=32 | starting date=Thu May 24 17:35:14 2018 | nfiles=10 | size(GB)=0.93
run=33 | starting date=Thu May 24 17:35:39 2018 | nfiles=6 | size(GB)=0.48
run=34 | starting date=Thu May 24 17:45:19 2018 | nfiles=10 | size(GB)=0.93
run=35 | starting date=Thu May 24 17:46:19 2018 | nfiles=10 | size(GB)=0.93
run=36 | starting date=Thu May 24 17:47:19 2018 | nfiles=10 | size(GB)=0.93
run=37 | starting date=Thu May 24 17:48:20 2018 | nfiles=10 | size(GB)=0.93
run=38 | starting date=Thu May 24 17:49:20 2018 | nfiles=10 | size(GB)=0.93
run=39 | starting date=Thu May 24 17:50:22 2018 | nfiles=10 | size(GB)=0.93
run=40 | starting date=Thu May 24 17:51:25 2018 | nfiles=10 | size(GB)=0.93
run=41 | starting date=Thu May 24 17:52:27 2018 | nfiles=10 | size(GB)=0.93
run=42 | starting date=Thu May 24 17:53:30 2018 | nfiles=10 | size(GB)=0.93
run=43 | starting date=Thu May 24 17:54:33 2018 | nfiles=10 | size(GB)=0.93
run=44 | starting date=Thu May 24 17:55:35 2018 | nfiles=10 | size(GB)=0.93
