#  
#  E(MeV) = ag,ar,an,Edelta,Piedestal
#  <signal>-<block_number><quartet_number><telescope_number>: <a0>,<a1>,<a2>
#  
RunList:                                 1010-24423
Signal:                                  Q3
CalibType:                               Channel-Energy
CSI-11:                                  6.38835,8.51857,0.,1.65407,0.
CSI-12:                                  6.03847,9.81244,110.8420,1.57115,0.
CSI-13:                                  5.27907,6.49979,0.,1.59206,0.
CSI-14:                                  5.85585,7.36523,225.632,1.42378,0.342269
CSI-21:                                  6.91507,9.81752,498.012,1.68187,0.
CSI-22:                                  5.87144,8.97983,118.51,1.62369,0.
CSI-23:                                  6.21096,8.24258,3.65424,1.60988,0.00054
CSI-24:                                  5.7402,7.43068,7.180390,1.45566,1.99532
CSI-34:                                  5.96749,7.79953,0.771278,1.57551,0.0387
CSI-41:                                  5.83863,7.73376,0.517596,1.57611,0.000328
CSI-42:                                  6.37953,7.98139,21.3973,1.64425,0.0
CSI-43:                                  5.98243,7.11641,6.73693,1.57189,1.96433
CSI-111:                                 5.54112,8.16021,2.45872,1.58589,0.899136
CSI-112:                                 6.09967,8.20722,7.61916,1.60972,0.
CSI-114:                                 6.29979,7.88298,21.1991,1.64851,0.0005234
CSI-131:                                 5.94258,9.44028,0.,1.59107,0.06194
CSI-133:				 6.44412,8.0306,21.2017,1.63499,0.00106682
CSI-134:                                 5.96395,7.96346,10.3037,1.58583.1.05952
CSI-141:                                 5.78149,8.6066,21.1298,1.65145,0.0536683
CSI-143:                                 6.15552,7.84727,3.62702,1.59217,0.049985
CSI-221:                                 5.64777,8.93268,3.86892,1.66263,0.005515
CSI-222:                                 4.53355,7.74355,1.40589,1.54222,1.58094
CSI-223:                                 6.5378,7.99669,17.0768,1.54017,1.76555
CSI-232:                                 4.96825,6.65125,0.711449,1.51137,0.890526
CSI-242:                                 6.17354,7.4419,6.32433,1.60699,0.010527
CSI-311:                                 6.18731,7.52264,1.87359,1.62987,0.
CSI-313:                                 4.86952,7.16209,0.,1.54895,0.
CSI-314:                                 6.11422,7.51718,0.966924,1.59301,0.
CSI-321:                                 5.83752,7.87911,0.507767,1.56348,1.96
CSI-323:                                 5.6695,8.02527,0.,1.65956,0.
CSI-324:                                 5.9924,7.33238,0.,1.70441,0.
CSI-334:                                 6.08497,6.76694,0.004768,1.5892,0.
CSI-341:                                 6.25374,7.64938,1.42174,1.59024,0.689546
CSI-342:                                 5.4556,6.15887,2.73028,1.47022,0.120345
CSI-343:                                 6.71835,7.8122,1.78231,1.55593,0.
CSI-344:                                 6.21613,7.39932,8.65458,1.5574,0.
